=================== grind ===================
arm grind cpu 6 frames 8017 swaps {'flush': 0, 'finish': 8017}; round 1 length 68.21 closed_by report span 0.54-66.18 (human_death) frames 4250 excl 313 hitches 0 rawmax 39.8
window                     secs         ms med (range)        pre med (range)        ren med (range)      draws med (range)
before (free, throttled)     10       11.1 (10.8-11.8)          5.9 (5.8-6.2)          5.1 (4.9-5.6)       53.0 (52.0-55.0)
rim, all                     40       17.1 (14.5-20.3)         9.4 (8.6-10.3)         7.6 (5.5-10.3)     113.3 (60.0-171.2)
rim, draws <= 70             14       15.3 (14.5-16.5)          9.1 (8.6-9.8)          6.0 (5.5-6.7)       60.0 (60.0-68.7)
rim, draws >= 150            15       18.8 (18.2-20.3)         9.6 (9.1-10.3)         9.2 (8.8-10.3)    166.3 (153.1-171.2)
ms_p50                 before 11.1 -> rim@<=70 draws 15.3 (+37 %, +4.2 ms); rim all 17.1 (+54 %)
ms_to_first_draw       before 5.9 -> rim@<=70 draws 9.1 (+55 %, +3.2 ms); rim all 9.4 (+59 %)
ms_first_draw_to_swap  before 5.1 -> rim@<=70 draws 6.0 (+18 %, +0.9 ms); rim all 7.6 (+48 %)
text excursion (rim >=150 vs rim <=70 draws): draws 60 -> 166, ren 6.0 -> 9.2 = 30 us per draw call; pre 9.1 -> 9.6
shots: r1-after-tutorial-keys@7.53s, g-12s-free@11.74s, g-18s-approach@17.96s, g-24s-grinding@24.2s, g-34s-grinding@34.46s, g-44s-grinding@44.69s, g-54s-grinding@54.94s, kill-stall@60.15s

per second (round clock; s = second after NEW_ROUND; draws = draw calls/frame; ms = ms_p50; pre = ms_to_first_draw_p50; ren = ms_first_draw_to_swap_p50; rawmax = raw_ms_max incl. screenshot/stall hitches)
  0   20.9    5.3    4.9    0.3    21.2
  1   33.0    5.4    4.9    0.5     6.4
  2   52.6    6.1    5.0    1.0     9.4
  3   53.0    6.2    5.1    0.9    13.7
  4   56.2    6.2    5.1    1.0    17.5
  5   58.8    6.5    5.3    0.9    10.3
  6   56.0    6.6    5.3    1.0     9.1
  7   56.0    6.1    5.1    0.9    15.6
  8   55.0   11.6    6.0    5.5    14.5
  9   55.0   11.5    6.0    5.3    13.9
 10   54.0   11.1    5.9    5.1    13.2
 11   54.0   11.3    5.9    5.1    14.9
 12   53.0   11.8    6.2    5.6    16.4
 13   53.0   11.2    6.0    5.1    13.8
 14   52.0   10.8    5.8    4.9    13.4
 15   52.0   11.1    5.9    5.2    13.7
 16   52.0   11.0    5.9    5.0    13.0
 17   52.0   11.0    5.9    5.0    12.9
 18   52.4   12.6    6.9    5.7    14.3
 19   57.7   15.2    8.8    6.3    26.1
 20   65.0   14.9    8.9    5.6    18.2
 21   77.2   16.2    9.5    6.5    38.4
 22  105.9   17.0    9.6    7.4    20.4
 23  134.0   17.4    9.2    8.3    20.4
 24  160.6   19.9    9.9   10.3    25.5
